ID_numb,MenuCode,Menu_Nail,Cost,Choice,Order,Filter1,Not US,Repeated excluding other filters,Repeated and same demographics,Repetitions-2,IP,Completed,Date,Latitud ,Longitud,Duration,FirstClick,LastClick,PageSubmit,ClickCount,2Alt_Asked,3AltAsked,4Alt_Asked,5Alt_Asked,6Alt_Asked,Binary_Timing - First Click,Binary_high_Timing - Last Click,Binary_high_Timing - Page Submit,Binary_high_Timing - Click Count,Binary1_menu,Binary1_choice,Binary1_order,Binary2_menu,Binary2_choice,Binary2_order,Binary3_menu,Binary3_choice,Binary3_order,Binary4_menu,Binary4_choice,Binary4_order,Binary5_menu,Binary5_choice,Binary5_order,Binary6_menu,Binary6_choice,Binary6_order,Binary7_menu,Binary7_choice,Binary7_order,Binary8_menu,Binary8_choice,Binary8_order,Binary9_menu,Binary9_choice,Binary9_order,Binary10_menu,Binary10_choice,Binary10_order,Gender,Age,Education,Ethnicity,Marital_status,Income,Employment,Pairwise Comparisons -Order,,First_Question
12,1,32,3,1,42513,0,0,0,0,0,24.56.255.31,1,2018-08-26 11:56,47.61030579,-122.3340988,168,36.683,36.683,41.447,1,4,2,5,1,3,9.737,71.744,73.806,10,12,1,12,13,3,31,14,1,14,15,1,15,23,3,32,24,2,24,25,5,52,34,3,43,35,5,35,45,5,45,0,1,3,3,1,3,1,Q25|9|2-1|10|1-1|5|8|3-1|7|6|4,,1
13,1,32,3,0,42153,0,0,0,0,0,73.205.7.119,1,2018-08-26 12:31,25.78289795,-80.23950195,124,1.239,1.239,5.263,1,4,2,1,5,3,20.254,87.471,89.14,10,12,2,12,13,3,13,14,4,14,15,5,51,23,2,32,24,2,24,25,2,25,34,3,34,35,3,53,45,5,45,1,2,3,2,1,3,1,Q25|7|3-1|9|5|2-1|4|10|1-1|8|6,,1
14,1,32,3,0,34521,0,0,0,0,0,24.14.99.206,1,2018-08-26 12:33,41.80090332,-87.93699646,191,33.958,33.958,60.907,1,3,4,5,2,1,4.085,40.885,41.63,10,12,2,12,13,3,13,14,1,14,15,5,15,23,2,32,24,2,42,25,2,25,34,3,43,35,5,35,45,5,45,1,3,5,4,1,5,1,Q25|6|4|2-1|7|3-1|9|10|5|1-1|8,,1
15,1,32,3,2,42135,0,0,0,0,0,104.185.158.46,1,2018-08-26 13:13,33.11219788,-96.69380188,424,74.756,75.115,162.679,2,4,2,1,3,5,6.633,71.416,73.351,14,12,2,12,13,3,13,14,4,41,15,5,15,23,2,32,24,2,24,25,2,52,34,3,34,35,3,35,45,4,45,1,2,4,4,2,12,1,Q25|7|10|1-1|6|4|2-1|3-1|5|8|9,,1
16,1,32,3,2,14325,0,0,0,0,0,75.118.129.252,1,2018-08-26 13:30,40.03450012,-82.86949921,544,393.058,393.058,394.815,1,1,4,3,2,5,37.517,65.486,66.924,10,12,2,12,13,3,31,14,1,14,15,5,15,23,2,32,24,2,42,25,2,52,34,3,34,35,5,35,45,5,45,1,3,5,1,1,6,1,Q25|3-1|10|6|5|9|1-1|7|8|2-1|4,,1
17,1,32,3,2,13542,0,0,0,0,0,174.87.254.199,1,2018-08-26 13:41,39.66879272,-119.0686951,272,42.851,93.384,94.534,3,1,3,5,4,2,16.249,87.795,89.808,10,12,2,12,13,3,31,14,4,41,15,5,51,23,3,23,24,2,24,25,5,52,34,3,34,35,5,53,45,5,45,0,3,2,1,1,3,1,Q25|7|4|3-1|2-1|1-1|8|9|10|5|6,,1
18,1,32,3,0,51324,0,0,0,0,0,174.20.30.76,1,2018-08-26 14:20,44.87840271,-93.27929688,155,0,0,5.321,0,5,1,3,2,4,9.312,63.506,65.072,11,12,1,12,13,3,31,14,1,14,15,5,51,23,3,32,24,4,24,25,5,25,34,3,43,35,3,53,45,5,45,0,3,3,1,1,2,1,Q25|2-1|1-1|7|3-1|9|6|10|4|8|5,,1
19,1,32,3,1,54123,0,0,1,0,0,73.108.21.153,1,2018-08-28 11:30,35.90429688,-83.84069824,210,32.988,43.128,44.988,2,5,4,1,2,3,18.505,95.683,96.66,13,12,2,12,13,3,31,14,4,41,15,5,51,23,2,23,24,2,24,25,2,52,34,3,34,35,5,35,45,5,45,1,2,4,3,1,3,1,Q25|9|10|2-1|1-1|7|5|4|3-1|8|6,,1
20,1,32,3,3,32451,0,0,0,0,0,162.251.221.196,1,2018-08-28 11:31,36.5171051,-85.81490326,142,11.814,11.814,16.154,1,3,2,4,5,1,8.666,39.05,40.276,15,12,2,12,13,3,13,14,4,41,15,5,51,23,2,23,24,2,24,25,2,25,34,3,34,35,5,35,45,5,45,0,2,3,1,1,6,1,Q25|8|10|7|4|1-1|6|2-1|3-1|5|9,,1
21,1,32,3,5,21435,0,0,0,0,0,162.221.246.8,1,2018-08-28 11:33,21.3421936,-157.8374023,202,17.08,46.21,58.337,3,2,1,4,3,5,4.987,62.072,62.941,16,12,1,12,13,3,13,14,1,41,15,5,15,23,3,32,24,4,42,25,5,25,34,4,34,35,5,35,45,5,45,1,2,4,4,2,11,1,Q25|8|1-1|5|9|3-1|10|2-1|7|4|6,,1
22,1,32,3,2,21534,0,0,0,0,0,205.153.204.1,1,2018-08-28 11:36,42.18510437,-121.6141052,241,60.224,60.224,67.151,1,2,1,5,3,4,2.491,73.468,75.565,18,12,2,21,13,3,31,14,4,14,15,5,15,23,2,23,24,2,42,25,2,52,34,3,34,35,5,53,45,5,45,1,3,4,1,2,9,1,Q25|4|6|3-1|5|1-1|9|10|2-1|7|8,,1
23,1,32,3,0,25143,0,0,1,0,0,98.221.118.208,1,2018-08-28 11:44,39.42089844,-74.49770355,489,0,0,7.643,0,2,5,1,4,3,3.034,35.072,36.853,11,12,2,21,13,1,31,14,1,14,15,1,51,23,2,23,24,2,42,25,2,25,34,3,34,35,5,35,45,4,45,1,2,4,1,2,7,1,Q25|5|4|6|3-1|10|2-1|1-1|9|8|7,,1
24,1,32,3,1,53142,0,0,0,0,0,71.76.25.186,1,2018-08-28 13:52,33.36149597,-79.27590179,149,5.093,34.713,35.836,5,5,3,1,4,2,4.181,53.95,55.759,32,12,2,12,13,3,31,14,4,41,15,5,51,23,2,32,24,2,24,25,2,25,34,3,34,35,5,53,45,5,45,1,3,5,1,2,9,1,Q25|4|3-1|8|6|10|1-1|2-1|5|9|7,,1
25,1,32,3,1,51342,0,0,0,0,0,192.210.197.136,1,2018-08-28 13:53,42.88650513,-78.87840271,289,137.949,137.949,139.799,1,5,1,3,4,2,13.382,84.126,85.699,13,12,1,12,13,1,31,14,1,41,15,5,51,23,3,32,24,2,42,25,5,25,34,3,34,35,3,35,45,5,45,1,2,4,1,2,9,1,Q25|6|7|9|2-1|10|4|1-1|5|3-1|8,,1
26,1,32,3,2,21345,0,1,0,0,0,181.196.88.98,1,2018-08-28 13:56,-2.166702271,-79.90000153,400,208.957,208.957,214.7,1,2,1,3,4,5,18.576,106.808,108.78,10,12,2,12,13,3,31,14,4,41,15,5,15,23,3,23,24,4,24,25,2,25,34,3,34,35,5,53,45,5,45,0,4,4,2,1,4,1,Q25|10|3-1|5|6|9|8|7|4|1-1|2-1,,1
27,1,32,3,2,51432,0,0,0,0,0,172.76.67.145,1,2018-08-28 13:57,40.95269775,-115.7906036,187,62.282,62.282,63.625,1,5,1,4,3,2,2.899,51.963,53.4,12,12,2,12,13,3,31,14,4,41,15,5,51,23,2,32,24,2,42,25,5,25,34,3,43,35,5,53,45,5,45,0,2,3,1,2,12,1,Q25|3-1|10|5|2-1|7|8|4|6|9|1-1,,1
28,1,32,3,4,14532,0,0,1,0,0,174.199.18.90,1,2018-08-28 13:58,41.53819275,-72.80699921,302,23.739,101.481,102.3,19,1,4,5,3,2,10.293,90.563,91.383,42,12,1,12,13,3,31,14,4,14,15,5,15,23,3,23,24,4,42,25,5,25,34,4,34,35,3,35,45,4,45,0,3,3,1,4,5,1,Q25|7|3-1|10|6|5|9|2-1|8|4|1-1,,1
29,1,32,3,2,12354,0,0,0,0,0,47.185.180.182,1,2018-08-28 14:03,33.02940369,-97.0687027,96,8.294,8.294,13.418,1,1,2,3,5,4,1.861,46.034,47.382,13,12,2,12,13,3,31,14,1,14,15,5,15,23,2,32,24,2,24,25,2,52,34,3,34,35,3,35,45,5,45,0,2,3,1,1,11,1,Q25|8|6|2-1|1-1|5|9|7|3-1|4|10,,1
30,1,32,3,2,25314,0,0,0,0,0,73.128.105.17,1,2018-08-28 14:03,39.01249695,-75.60510254,363,1.701,141.689,163.153,2,2,5,3,1,4,5.324,55.748,56.971,11,12,2,21,13,3,31,14,4,14,15,5,51,23,2,23,24,2,42,25,2,25,34,3,34,35,5,35,45,5,45,0,3,4,4,2,4,1,Q25|2-1|7|3-1|5|10|6|4|9|8|1-1,,1
31,1,32,3,0,34215,0,0,0,0,0,107.146.199.161,1,2018-08-28 14:03,35.34559631,-119.0755997,245,0,0,23.364,0,3,4,2,1,5,10.805,124.235,127.21,10,12,2,21,13,3,31,14,4,14,15,5,15,23,3,23,24,2,42,25,2,52,34,3,34,35,5,53,45,5,45,1,2,4,1,1,2,1,Q25|5|8|4|1-1|3-1|7|6|2-1|10|9,,1
32,1,32,3,1,13524,0,0,0,0,0,75.88.93.88,1,2018-08-28 14:10,40.17570496,-76.165802,340,33.824,145.054,177.982,5,1,3,5,2,4,9.392,78.449,80.706,12,12,1,12,13,3,31,14,1,14,15,5,51,23,3,23,24,4,24,25,2,25,34,3,34,35,3,53,45,5,45,1,1,3,1,1,8,1,Q25|10|8|3-1|1-1|4|9|7|6|5|2-1,,1
33,1,32,3,3,35124,0,0,1,0,4,50.88.122.169,1,2018-08-28 14:14,28.24229431,-81.44560242,181,8.504,8.504,14.722,1,3,5,1,2,4,0.205,17.754,19.795,10,12,1,12,13,3,31,14,1,14,15,1,15,23,3,32,24,4,24,25,5,25,34,3,34,35,5,53,45,4,45,0,4,3,3,4,2,1,Q25|7|8|1-1|9|10|6|4|5|3-1|2-1,,1
34,1,32,3,5,31245,0,0,0,0,0,66.41.56.243,1,2018-08-28 14:16,44.97290039,-93.28730011,299,144.224,144.224,145.161,1,3,1,2,4,5,10.656,90,91.326,10,12,2,21,13,3,31,14,4,14,15,5,15,23,3,23,24,4,24,25,2,52,34,3,34,35,3,35,45,5,45,0,2,3,1,1,2,1,Q25|8|3-1|7|1-1|4|9|5|10|2-1|6,,1
35,1,32,3,3,52314,0,0,0,0,0,24.253.49.68,1,2018-08-28 14:22,36.17500305,-115.1371994,157,1.59,25.36,26.492,3,5,2,3,1,4,11.27,53.535,53.796,13,12,2,12,13,3,31,14,1,41,15,5,51,23,3,32,24,2,24,25,5,25,34,3,34,35,5,35,45,5,45,0,1,4,4,1,11,1,Q25|5|2-1|8|1-1|7|4|3-1|10|6|9,,1
36,1,32,3,1,52431,0,0,0,0,0,198.109.76.22,1,2018-08-28 14:33,42.37550354,-83.07720184,118,21.007,21.007,22.052,1,5,2,4,3,1,1.171,45.255,47.576,11,12,2,21,13,3,31,14,1,14,15,1,51,23,3,32,24,2,24,25,2,52,34,3,43,35,3,53,45,5,45,0,2,4,1,1,5,1,Q25|5|6|3-1|10|1-1|4|2-1|7|9|8,,1
37,1,32,3,4,42135,0,0,0,0,0,104.129.18.243,1,2018-08-28 14:36,33.7480011,-84.38580322,586,8.058,217.994,218.897,9,4,2,1,3,5,8.287,152.138,153.23,36,12,1,12,13,3,31,14,1,41,15,5,15,23,3,32,24,2,24,25,5,25,34,3,43,35,3,35,45,5,45,1,4,4,1,2,11,1,Q25|10|1-1|6|7|8|9|3-1|2-1|4|5,,1
38,1,32,3,3,12534,0,0,0,0,0,66.27.186.62,1,2018-08-28 14:40,34.15370178,-116.4188995,331,56.26,56.26,57.467,1,1,2,5,3,4,70.472,178.182,179.579,12,12,2,21,13,1,31,14,1,41,15,1,15,23,3,32,24,4,42,25,5,52,34,4,34,35,3,53,45,4,45,1,4,2,1,2,3,1,Q25|8|9|3-1|6|10|2-1|1-1|5|7|4,,1
39,1,32,3,5,54213,0,0,1,1,0,173.202.105.119,1,2018-08-28 14:52,36.331604,-92.41030121,668,53.414,366.85,372.002,5,5,4,2,1,3,27.642,116.173,118.154,10,12,2,21,13,3,13,14,1,14,15,5,51,23,3,32,24,2,42,25,5,25,34,3,34,35,3,35,45,5,45,0,5,4,1,2,2,2,Q25|9|7|4|3-1|8|10|2-1|6|1-1|5,,1
40,1,32,3,1,25314,0,0,0,0,0,66.31.67.246,1,2018-08-28 15:01,42.73449707,-71.46330261,221,56.593,56.593,57.975,1,2,5,3,1,4,4.586,48.795,49.802,14,12,2,12,13,3,31,14,4,41,15,5,15,23,2,23,24,2,42,25,5,52,34,3,43,35,3,53,45,5,45,1,2,4,1,2,8,1,Q25|2-1|4|3-1|10|8|6|7|5|1-1|9,,1
41,1,32,3,2,24513,0,0,0,0,0,76.22.69.100,1,2018-08-28 15:04,47.31010437,-122.2042007,271,42.895,42.895,55.942,1,2,4,5,1,3,6.973,94.339,97.47,11,12,2,21,13,3,31,14,4,41,15,5,15,23,2,32,24,2,42,25,5,25,34,3,34,35,5,53,45,5,45,1,4,3,1,4,3,2,Q25|4|7|9|2-1|8|6|1-1|5|10|3-1,,1
42,1,32,3,3,53124,0,0,0,0,0,71.56.135.96,1,2018-08-28 15:33,45.46769714,-122.4958954,151,31.873,31.873,33.723,1,5,3,1,2,4,3.558,50.512,51.838,11,12,2,21,13,3,31,14,4,41,15,5,51,23,2,32,24,4,24,25,5,25,34,4,34,35,5,53,45,5,45,1,4,4,1,4,8,1,Q25|6|8|10|1-1|3-1|4|2-1|7|9|5,,1
43,1,32,3,0,15243,0,0,0,0,0,162.223.82.214,1,2018-08-28 16:51,40.21980286,-74.73120117,302,12.813,130.687,133.29,10,1,5,2,4,3,23.076,61.577,63.491,26,12,2,21,13,1,31,14,1,14,15,1,51,23,2,23,24,2,24,25,2,52,34,3,43,35,3,53,45,4,45,1,4,2,1,1,3,1,Q25|5|6|9|3-1|4|7|2-1|1-1|10|8,,1
44,1,32,3,1,12354,0,0,0,0,0,75.128.183.238,1,2018-08-28 16:55,43.61470032,-84.79270172,95,12.914,12.914,24.82,1,1,2,3,5,4,3.376,40.112,41.169,11,12,2,21,13,3,13,14,4,41,15,5,51,23,3,23,24,2,24,25,5,52,34,3,43,35,5,53,45,5,45,0,2,5,1,2,9,1,Q25|7|5|9|1-1|6|8|3-1|2-1|10|4,,1
45,1,32,3,3,24315,0,0,0,0,0,24.102.65.165,1,2018-08-28 17:01,40.74339294,-73.91889954,232,19.737,88.183,103.274,2,2,4,3,1,5,8.557,64.041,66.448,12,12,2,21,13,3,31,14,4,14,15,5,51,23,2,23,24,2,42,25,2,52,34,3,34,35,5,35,45,5,45,1,2,4,1,1,11,1,Q25|6|9|3-1|10|2-1|1-1|5|4|7|8,,1
46,1,32,3,1,51423,0,0,0,0,0,72.94.217.129,1,2018-08-28 18:34,40.28509521,-75.95230103,284,18.098,101.553,103.059,5,5,1,4,2,3,1.864,78.305,79.584,28,12,1,12,13,1,31,14,4,14,15,1,51,23,3,23,24,2,24,25,5,52,34,4,34,35,3,35,45,4,45,0,3,5,1,2,7,1,Q25|3-1|4|8|10|5|9|2-1|6|1-1|7,,1
47,1,32,3,2,23154,0,0,0,0,0,100.36.182.204,1,2018-08-28 18:53,38.78509521,-77.28659821,63,3.906,3.906,5.151,1,2,3,1,5,4,4.061,29.736,31.55,10,12,1,12,13,1,13,14,1,14,15,1,15,23,2,23,24,2,42,25,2,25,34,3,43,35,3,35,45,5,45,1,1,4,1,1,8,1,Q25|9|8|10|1-1|4|5|2-1|3-1|6|7,,1
48,1,32,3,5,25341,0,0,0,0,0,69.47.38.57,1,2018-08-28 19:06,41.6934967,-87.61450195,66,2.737,7.951,8.285,2,2,5,3,4,1,1.83,28.208,29.174,11,12,1,21,13,3,13,14,4,14,15,1,15,23,3,23,24,4,42,25,2,25,34,3,34,35,3,35,45,5,45,1,2,4,3,2,10,1,Q25|3-1|8|5|1-1|4|9|10|7|6|2-1,,1
49,1,32,3,0,42513,0,0,0,0,0,50.39.222.72,1,2018-08-28 21:43,45.35519409,-122.861496,246,0,0,104.168,0,4,2,5,1,3,8.173,61.137,62.624,10,12,2,12,13,3,31,14,4,41,15,5,15,23,2,23,24,2,24,25,2,52,34,4,34,35,5,35,45,5,45,0,2,5,1,1,5,1,Q25|9|10|8|2-1|5|7|1-1|6|3-1|4,,1
50,1,32,3,3,24315,0,0,0,0,0,99.21.65.32,1,2018-08-28 21:58,37.56700134,-121.9828949,102,3.826,10.634,12.03,2,2,4,3,1,5,4.669,52.627,54.427,10,12,2,21,13,1,13,14,4,41,15,5,51,23,3,23,24,4,42,25,5,52,34,4,34,35,5,53,45,5,45,1,2,4,4,1,10,1,Q25|2-1|3-1|6|5|8|10|9|1-1|7|4,,1
51,1,32,3,3,41235,0,0,1,0,0,31.13.189.69,1,2018-08-29 2:32,37.75100708,-97.8219986,76,2.69,5.043,6.66,2,4,1,2,3,5,2.146,26.989,28.436,11,12,2,12,13,1,31,14,1,14,15,5,51,23,3,32,24,2,42,25,5,25,34,3,34,35,5,53,45,5,45,1,2,4,3,2,6,1,Q25|4|3-1|8|2-1|7|10|9|1-1|6|5,,1
52,1,32,3,0,15243,0,0,0,0,0,174.226.134.179,1,2018-08-29 5:14,37.21769714,-79.92099762,147,1.314,1.314,3.321,1,1,5,2,4,3,8.431,98.442,100.26,11,12,2,21,13,3,31,14,4,41,15,5,51,23,2,32,24,2,42,25,2,52,34,3,43,35,5,53,45,5,45,0,3,2,1,2,12,4,Q25|2-1|4|5|10|6|1-1|9|7|8|3-1,,1
53,1,32,3,1,53214,0,0,0,0,0,38.77.0.126,1,2018-08-29 8:09,44.97590637,-74.62030029,130,2.014,39.378,40.548,18,5,3,2,1,4,0.996,47.374,48.388,27,12,1,21,13,1,31,14,1,14,15,1,15,23,2,23,24,2,24,25,2,52,34,4,43,35,3,35,45,4,45,0,2,2,6,1,3,1,Q25|8|6|1-1|7|4|3-1|5|9|10|2-1,,1
54,1,32,3,3,53421,0,0,0,0,0,72.160.111.75,1,2018-08-29 10:18,47.53359985,-121.7996979,320,80.62,80.62,83.476,1,5,3,4,2,1,35.899,115.273,119.068,10,12,2,21,13,3,13,14,4,14,15,5,15,23,3,32,24,4,42,25,5,25,34,4,43,35,5,35,45,5,45,1,5,2,1,2,8,1,Q25|10|1-1|3-1|6|5|9|7|2-1|4|8,,1
55,1,32,3,2,25143,0,0,1,1,0,24.159.217.26,1,2018-08-29 10:18,44.63070679,-93.30339813,122,14.044,45.17,49.145,4,2,5,1,4,3,1.014,23.959,25.342,10,12,2,21,13,3,31,14,4,14,15,5,51,23,3,32,24,4,42,25,5,52,34,4,43,35,5,53,45,5,45,0,1,4,1,1,3,1,Q25|7|6|4|5|9|8|3-1|2-1|10|1-1,,1
56,1,32,3,2,31542,0,0,0,0,0,174.28.8.91,1,2018-08-29 10:38,35.08450317,-106.6511002,470,186.855,186.855,188.643,1,3,1,5,4,2,31.355,155.744,157.638,10,12,2,12,13,3,13,14,4,14,15,5,51,23,2,32,24,2,24,25,2,52,34,3,43,35,5,35,45,5,45,0,4,4,1,2,6,4,Q25|10|7|5|8|6|1-1|4|9|3-1|2-1,,1
57,1,32,3,0,53214,0,0,0,0,0,67.174.18.48,1,2018-08-29 11:26,29.12519836,-82.00289917,56,1.626,1.626,2.568,1,5,3,2,1,4,0,0,29.386,0,12,1,21,13,1,31,14,1,41,15,1,51,23,2,23,24,2,42,25,2,25,34,3,43,35,5,35,45,5,45,0,2,3,1,2,5,1,Q25|3-1|4|1-1|2-1|5|8|9|10|7|6,,1
58,1,32,3,3,21435,0,0,0,0,0,192.136.162.134,1,2018-08-29 14:14,44.5677948,-69.21900177,98,26.302,26.302,27.722,1,2,1,4,3,5,2.655,35.147,39.622,14,12,2,12,13,3,13,14,4,14,15,1,15,23,3,32,24,4,42,25,5,52,34,3,43,35,3,35,45,4,45,1,4,3,1,2,7,1,Q25|1-1|3-1|2-1|7|9|10|6|8|4|5,,1
59,1,32,3,2,31254,0,0,0,0,0,204.108.237.194,1,2018-08-29 17:31,39.9683075,-75.8266983,322,64.337,64.337,92.976,1,3,1,2,5,4,11.494,109.451,112.846,10,12,2,21,13,3,31,14,4,41,15,5,51,23,3,23,24,4,24,25,2,25,34,3,43,35,5,53,45,5,45,0,5,5,1,1,1,2,Q25|3-1|5|6|8|1-1|4|2-1|7|10|9,,1
60,1,32,3,0,31452,0,0,0,0,0,47.196.164.246,1,2018-08-29 20:43,28.0821991,-82.52390289,168,4.033,14.193,16.404,3,3,1,4,5,2,2.872,77.186,78.304,23,12,2,12,13,3,13,14,4,41,15,5,15,23,2,32,24,2,24,25,2,52,34,3,43,35,5,35,45,5,45,0,4,5,1,2,5,1,Q25|7|5|4|2-1|8|1-1|10|9|6|3-1,,1
61,1,32,3,0,13425,0,0,1,0,0,50.82.174.93,1,2018-08-30 2:59,41.01609802,-95.21839905,211,0,0,43.783,0,1,3,4,2,5,10.758,86.124,87.125,24,12,2,21,13,3,31,14,4,41,15,5,51,23,2,23,24,2,24,25,5,52,34,3,43,35,5,53,45,5,45,1,2,4,1,2,6,4,Q25|2-1|8|10|9|5|7|1-1|4|6|3-1,,1
62,1,32,3,4,32145,0,0,0,0,0,65.32.131.48,1,2018-08-30 8:44,28.04069519,-81.90429688,1060,273.125,367.975,433.075,3,3,2,1,4,5,9.643,233.885,235.187,10,12,2,21,13,3,13,14,4,41,15,5,51,23,2,32,24,2,24,25,2,52,34,3,43,35,5,35,45,5,45,1,3,2,1,1,1,2,Q25|4|9|2-1|6|5|8|7|10|1-1|3-1,,1
64,1,32,3,2,32541,0,0,0,0,0,50.196.127.105,1,2018-09-04 11:05,30.19450378,-81.6006012,210,15.658,84.529,86.001,14,3,2,5,4,1,0.971,53.3,54.084,51,12,2,12,13,3,31,14,4,14,15,5,51,23,2,32,24,2,24,25,2,25,34,3,43,35,5,35,45,5,54,1,3,4,4,2,4,1,Q25|4|10|6|5|2-1|1-1|3-1|7|9|8,,1
65,1,32,3,1,13452,0,1,0,0,0,113.173.7.71,1,2018-09-04 11:09,10.81419373,106.6437988,212,31.182,31.182,41.911,1,1,3,4,5,2,11.052,74.669,75.689,11,12,1,12,13,1,31,14,4,14,15,1,51,23,3,32,24,4,42,25,5,25,34,4,43,35,3,35,45,5,45,1,2,4,4,1,12,1,Q25|9|8|4|10|1-1|3-1|6|7|5|2-1,,1
